42.27	35.96	37.25	35.96	0
42.27	35.07	38.5	37.25	0
42.28	35.74	37.25	36.83	0
42.28	36.39	37.46	36.61	0
42.28	36.83	37.67	36.61	0
42.29	35.29	37.25	36.61	0
42.29	36.39	37.88	36.83	0
42.29	35.74	37.46	37.04	0
42.30	36.83	37.67	37.04	0
42.30	36.39	37.46	37.25	0
42.30	36.39	38.5	36.61	0
42.31	36.18	37.88	36.61	0
42.31	35.96	37.46	35.96	0
42.31	36.83	37.88	37.25	0
42.32	36.39	38.09	37.04	1140
42.32	36.61	37.46	35.96	1241
42.32	37.25	37.88	36.83	891
42.33	36.39	37.67	36.39	959
42.33	35.51	37.88	36.18	1648
42.33	42.97	37.25	36.39	1162
42.34	36.61	37.67	37.25	688
42.34	36.83	38.3	37.25	-1982
42.34	36.61	37.46	36.83	-1272
42.34	37.04	37.88	36.61	-188
42.35	35.51	37.46	32.74	1140
42.35	36.39	37.88	36.83	1320
42.35	36.18	37.67	36.83	1027
42.36	36.18	37.46	36.61	1885
42.36	37.04	37.67	36.61	756
42.36	35.96	37.67	36.83	-1915
42.37	36.39	37.67	37.04	688
42.37	35.74	37.67	36.83	1885
42.37	36.39	37.88	37.25	259
42.38	37.46	36.83	37.46	474
42.38	36.18	37.88	37.25	1200
42.38	36.39	37.04	36.83	891
42.39	35.51	38.09	36.83	1591
42.39	35.74	37.88	37.25	1298
42.39	34.61	37.46	35.96	417
42.40	35.07	37.25	36.39	982
42.40	33.46	37.25	37.46	1467
42.40	35.74	38.09	37.04	1659
42.41	35.96	36.83	35.96	1151
42.41	35.07	36.39	35.96	1512
42.41	35.51	37.04	35.74	1343
42.42	35.51	37.67	37.04	1501
42.42	36.39	37.25	36.83	1568
42.42	35.29	37.04	37.25	0
42.43	36.18	37.25	35.74	0
42.43	35.29	37.46	36.39	0
42.43	36.18	37.67	37.25	0
42.44	36.61	38.09	37.04	0
42.44	36.39	38.09	36.39	0
42.44	36.61	37.67	37.04	0
42.45	36.39	37.88	36.83	0
42.45	36.39	37.46	37.04	0
42.45	36.39	37.46	36.39	0
42.46	36.39	38.09	37.04	0
42.46	36.18	37.88	36.83	0
42.46	35.74	37.46	37.04	0
42.47	36.18	37.67	36.39	0
42.47	36.61	37.25	37.04	0
42.47	34.84	38.3	36.39	0
42.48	35.96	37.46	37.04	0
42.48	36.18	37.46	36.83	0
42.48	36.18	37.67	37.04	0
42.49	34.84	37.88	36.61	0
42.49	35.96	37.67	35.96	0
42.49	35.07	37.04	37.04	0
42.49	36.18	37.67	36.83	0
42.50	35.51	37.46	36.61	0
42.50	36.18	37.67	36.39	0
42.50	36.18	37.67	36.61	0
42.51	35.96	37.46	36.39	0
42.51	35.51	37.46	36.61	0
42.51	36.18	37.67	36.61	0
42.52	34.84	36.39	36.18	0
42.52	36.18	37.25	36.39	0
42.52	35.96	35.96	35.74	0
42.53	35.96	37.25	36.18	0
42.53	35.96	37.25	36.83	0
42.53	36.18	37.46	36.83	0
42.54	36.18	37.88	36.83	0
42.54	35.74	36.61	35.96	0
42.54	35.74	37.25	37.04	0
42.55	36.18	36.83	37.46	0
42.55	35.74	37.46	36.83	0
42.55	35.96	37.67	36.83	0
42.56	35.51	37.46	36.61	0
42.56	35.96	37.46	36.39	0
42.56	36.18	37.04	36.18	0
42.57	36.18	37.25	36.39	-1248
42.57	35.29	36.83	35.96	1962
42.57	43.34	37.04	36.61	1523
42.58	35.96	37.25	36.39	778
42.58	35.74	36.61	36.39	1252
42.58	35.74	37.04	36.83	-1707
42.59	36.39	36.18	37.88	1347
42.59	36.39	42.42	35.29	-1377
42.59	36.61	37.67	37.04	-1971
43.00	36.61	37.46	37.46	1173
43.00	35.51	37.46	36.39	-158
43.00	35.51	37.25	36.83	-106
43.01	35.07	37.46	37.04	-1822
